area_name_en,property_type_en,median_price,meter_sale_price,price_per_sqm,sale_count,growth_stage,median_rent,meter_rent_price,rent_count,rental_yield,growth_stage_encoded,cluster_id,cluster_label
Al Yufrah 1,Villa,2525000.0,13793.1,13934.080751568816,31,Off-Plan or Launch,2121920.0,11451.725,19,0.8404,0.0,0,"Cluster 0: Yield 76.0%, Price AED 8661525, Stage ~ 0.29."
Al Yufrah 2,Land,1249500.0,7261.23,7062.689643075235,209,Off-Plan or Launch,920000.0,4590.59,9,0.7363,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Yufrah 2,Villa,1125000.0,6840.25,6941.686551912019,248,Off-Plan or Launch,,,8,,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Yufrah 3,Land,869000.0,6860.3,6754.671069054809,204,Off-Plan or Launch,812500.0,5352.44,3,0.935,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Al Yufrah 3,Villa,1260000.0,7437.07,7365.769071066344,120,Off-Plan or Launch,742000.0,4137.39,3,0.5889,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Burj Khalifa,Unit,1787600.0,16192.62,19166.759194281047,24424,Stabilized / Legacy,1432444.0,12918.82,4522,0.8013,3.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Business Bay,Unit,1150947.5,14725.26,15884.01945588428,15704,Stabilized / Legacy,1100000.0,12636.82,1559,0.9557,3.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Dubai Investment Park First,Building,7526375.0,8472.88,8472.880478222203,1,Off-Plan or Launch,3353370.5,3334.53,6,0.4455,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Dubai Investment Park First,Unit,1989842.0,6953.865,6375.261395862793,14,Off-Plan or Launch,1350000.0,5491.6,30,0.6784,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Dubai Investment Park First,Villa,3056453.0,10133.91,9859.530132340102,106,Off-Plan or Launch,2463750.0,3289.645,117,0.8061,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
